"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"RESI,REF**,REF**,REF**";"R_0402_1005Metric";4;"R_0402_1005Metric";;;
2;"D19,D28,D21,D8,D16,D18,D14,D25,D10,D1,D2,D26,D20,D13,D3,D9,D6,D5,D17,D7,D22,D15,D11,D12,D27,D23,D29,D4,D24,D49,D54,D43,D50,D46,D33,D40,D57,D38,D42,D35,D45,D44,D36,D39,D32,D51,D47,D30,D53,D52,D56,D55,D34,D41,D58,D31,D37,D48";"Diode_SOD-123";58;"";;;
3;"_3,_4,_1,_2,_1,_3,_4,_2";"MountingHole_2.2mm_M2_Pad_Via";8;"";;;
4;"S7,S26,S17,S5,S9,S6,S22,S13,S10,S24,S3,S14,S25,S23,S18,S27,S11,S20,S8,S4,S16,S2,S28,S12,S15,S21,S19,S1,S50,S47,S32,S44,S39,S36,S42,S53,S30,S35,S45,S41,S56,S37,S57,S38,S46,S43,S52,S51,S33,S54,S48,S49,S34,S55,S31,S40";"Hotswap_Choc_V1V2_1.00u";56;"";;;
5;"REF**,TRRS1";"TRRS_PJ-320A";2;"TRRS_PJ-320A";;;
6;"OLED1,OLED1";"OLED_128x32";2;"OLED";;;
7;"S29,S58";"Hotswap_Choc_V1V2_1.50u";2;"";;;
8;"B1,B1";"SW_TACT_ALPS_SKQGABE010";2;"";;;
9;"MCU1,MCU1";"ProMicro";2;"";;;
