Designator,Mid X,Mid Y,Rotation,Layer
B1,261.4,-60.9,270.0,top
D30,384.9,-95.0,270.0,bottom
D31,384.9,-77.0,270.0,bottom
D32,384.9,-59.0,270.0,bottom
D33,384.9,-41.0,270.0,bottom
D34,365.9,-93.0,270.0,bottom
D35,365.9,-75.0,270.0,bottom
D36,365.9,-57.0,270.0,bottom
D37,365.9,-39.0,270.0,bottom
D38,346.9,-87.0,270.0,bottom
D39,346.9,-69.0,270.0,bottom
D40,346.9,-51.0,270.0,bottom
D41,346.9,-33.0,270.0,bottom
D42,327.9,-84.5,270.0,bottom
D43,327.9,-66.5,270.0,bottom
D44,327.9,-48.5,270.0,bottom
D45,327.9,-30.5,270.0,bottom
D46,308.9,-87.0,270.0,bottom
D47,308.9,-69.0,270.0,bottom
D48,308.9,-51.0,270.0,bottom
D49,308.9,-33.0,270.0,bottom
D50,289.9,-89.5,270.0,bottom
D51,289.9,-71.5,270.0,bottom
D52,289.9,-53.5,270.0,bottom
D53,289.9,-35.5,270.0,bottom
D54,270.9,-84.25,270.0,bottom
D55,337.6,-107.5,270.0,bottom
D56,318.6,-107.5,270.0,bottom
D57,299.6,-109.5,270.0,bottom
D58,268.6,-110.0,270.0,bottom
MCU1,273.9,-47.73,270.0,top
RES3,259.510002,-44.999988,180.0,bottom
RES4,259.509999,-46.500004,180.0,bottom
S30,388.9,-100.0,180.0,top
S31,388.9,-82.0,180.0,top
S32,388.9,-64.0,180.0,top
S33,388.9,-46.0,180.0,top
S34,369.9,-98.0,180.0,top
S35,369.9,-80.0,180.0,top
S36,369.9,-62.0,180.0,top
S37,369.9,-44.0,180.0,top
S38,350.9,-92.0,180.0,top
S39,350.9,-74.0,180.0,top
S40,350.9,-56.0,180.0,top
S41,350.9,-38.0,180.0,top
S42,331.9,-89.5,180.0,top
S43,331.9,-71.5,180.0,top
S44,331.9,-53.5,180.0,top
S45,331.9,-35.5,180.0,top
S46,312.9,-92.0,180.0,top
S47,312.9,-74.0,180.0,top
S48,312.9,-56.0,180.0,top
S49,312.9,-38.0,180.0,top
S50,293.9,-94.5,180.0,top
S51,293.9,-76.5,180.0,top
S52,293.9,-58.5,180.0,top
S53,293.9,-40.5,180.0,top
S54,274.9,-89.25,180.0,top
S55,341.6,-112.5,180.0,top
S56,322.6,-112.5,180.0,top
S57,303.6,-114.5,180.0,top
S58,278.3,-117.5,295.0,top
TRRS2,260.0,-36.6625,0.0,top
_1,364.9,-32.44,0.0,top
_2,360.9,-111.6,0.0,top
_3,289.9,-108.95,0.0,top
_4,260.4,-52.4,0.0,top
